Question_Option,Answer
thiokinase: Lactate dehydrogenase,FALSE
thiokinase: lactase,FALSE
thiokinase: esterase,FALSE
thiokinase: aminopeptidase,FALSE
thiokinase: ALT,FALSE
"Co-enzymes derived from vit-B complexes are-
respiration: coenzyme Q",TRUE
"Co-enzymes derived from vit-B complexes are-
respiration: thiamin pyrophosphate",TRUE
"Co-enzymes derived from vit-B complexes are-
respiration: FAD",TRUE
"Co-enzymes derived from vit-B complexes are-
respiration: biotin",FALSE
"Co-enzymes derived from vit-B complexes are-
respiration: coenzyme A",FALSE
"Co-enzymes derived from vit-B complexes are-
respiration: sugar phosphate",FALSE
"Co-enzymes derived from vit-B complexes are-
respiration: NADP",TRUE
"Co-enzymes derived from vit-B complexes are-
respiration: lipoic acid",FALSE
"Co-enzymes derived from vit-B complexes are-
respiration: cobamide",FALSE
"Co-enzymes derived from vit-B complexes are-
respiration: cobalamine coenzyme",TRUE
Enzymes with their clinical significance: myocardium,TRUE
Enzymes with their clinical significance: brain,TRUE
Enzymes with their clinical significance: ALT is highly specific for liver,TRUE
Enzymes with their clinical significance: breast,FALSE
Enzymes with their clinical significance: CPK-MM is highly specific for muscle,TRUE
Enzymes with their clinical significance: muscle,TRUE
Enzymes with their clinical significance: AST is a heart disease marker,TRUE
Enzymes with their clinical significance: liver,FALSE
Enzymes with their clinical significance: Aldolase is increased in brain tumor,FALSE
Coenzymes: ALP is increased in prostate cancer,FALSE
Coenzymes: are inorganic molecules,FALSE
Enzyme action is affected by: are often derived from vitamins,TRUE
Enzyme action is affected by: Allosteric substances,TRUE
Enzyme action is affected by: may be regarded as 2nd messenger,FALSE
Enzyme action is affected by: Pressure,FALSE
Enzyme action is affected by: have no role in group transfer reaction,FALSE
Enzyme action is affected by: Electrolytes,FALSE
Enzyme action is affected by: are non protein substances,TRUE
Enzyme action is affected by: pH,TRUE
Prosthetic group of an enzyme: Enzyme concentration,TRUE
Prosthetic group of an enzyme: FMN,TRUE
Characteristics of isoenzymes are as follows: Biotin,TRUE
Characteristics of isoenzymes are as follows: NAD,TRUE
Characteristics of isoenzymes are as follows: Has quaternary structure,TRUE
Characteristics of isoenzymes are as follows: Thiamin,TRUE
Characteristics of isoenzymes are as follows: Has different molecular forms with different e. Pyridoxal phosphate,TRUE
Km of an enzyme: Has diagnostic value in disease process,TRUE
Km of an enzyme: Is substrate concentration,TRUE
Km of an enzyme: Can be used to treat disease,FALSE
Km of an enzyme: Is enzyme concentration,FALSE
Km of an enzyme: Usually are non-function plasma enzymes,FALSE
Km of an enzyme: Is product concentration,FALSE
Enzyme studied in myocardial infarction: Determines affinity with substrate,TRUE
Enzyme studied in myocardial infarction: CK,FALSE
Enzyme studied in myocardial infarction: Is a constant value,TRUE
Enzyme studied in myocardial infarction: CK-MB,TRUE
The following are the plasma non functional: GT,FALSE
The following are the plasma non functional: ALT,FALSE
The following are the plasma non functional: AST,FALSE
The following are the plasma non functional: LDH,TRUE
The following are the plasma non functional: ALT,FALSE
Regarding isoenzyme: Lipoprotein lipase,TRUE
Regarding isoenzyme: many are tissue specific,TRUE
Regarding isoenzyme: LDH,FALSE
Regarding isoenzyme: are differ in physico-chemical properties,TRUE
Regarding isoenzyme: LCAT,FALSE
Regarding isoenzyme: are synthesized from different genes,TRUE
The following are coenzymes: LDH has eight distinct forms,FALSE
The following are coenzymes: hexokinase,FALSE
The following are coenzymes: LDH 5 is increased in myocardial infarction,FALSE
The following are coenzymes: pyridoxal phosphate,TRUE
Coenzymes are: thiamin pyrophosphate (T a. non-protein organic molecule,TRUE
Coenzymes are: catalase,FALSE
Coenzymes are: dialyzable,TRUE
Coenzymes are: peroxidase,FALSE
Coenzymes are: heat labile,FALSE
Plasma non functional enzymes are: prosthetic groups of enzymes,TRUE
Plasma non functional enzymes are: AST,FALSE
Plasma non functional enzymes are: catalyze a specific reaction,FALSE
Plasma non functional enzymes are: Lipoprotein lipase,FALSE
Features of LDH are that: it is an intracellular enzyme,TRUE
Features of LDH are that: it has got three iso-enzymes,FALSE
Features of LDH are that: it is a cardiac marker,TRUE
Features of LDH are that: it is an oligomeric protein,FALSE
Features of LDH are that: it is not denaturated by heat,FALSE
"Km of an enzyme-
is the substrate concentration: b. is constant",TRUE
"Km of an enzyme-
is the substrate concentration: is the half maximum velocity",FALSE
"Km of an enzyme-
is the substrate concentration: depends upon concentration of product",FALSE
Features of LDH are that: it is an intracellular enzyme,TRUE
Features of LDH are that: it has got five isozymes,TRUE
Features of LDH are that: it is a cardiac marker,TRUE
Features of LDH are that: it is not denatured by heat,FALSE
Features of LDH are that: it is an oligomeric protein,FALSE
Coenzymes are: heat labile,FALSE
Coenzymes are: inorganic substance,FALSE
Coenzymes are: non-protein in nature,TRUE
Coenzymes are: all vitamin derivatives,FALSE
Coenzymes are: dialyzable,TRUE
Properties of enzymes are that they: are crystalloids,FALSE
Properties of enzymes are that they: are heat labile,TRUE
Properties of enzymes are that they: act as catalyst,TRUE
